Main Category	Sub-Category	Constraint	Rule Type	Rule Text
Processor	Processor	max 4	Quantity Constraint	Quantity: max 4
Memory	Memory	max 32	Quantity Constraint	Quantity: max 32
Chassis	Variants	min 1, max 1 — Active OCA CTO chassis	Configuration Rule	Select exactly one currently discoverable, non-TAA/non-GTA CTO base chassis
Accessories & Infrastructure	Energy Star Configuration Presets	max 1	Configuration Rule	Selection constraint for Energy Star Configuration Presets: max 1
Processor	Processor	max 4	Configuration Rule	Selection constraint for Processor: max 4
Cables & Enablement Kits	Standard & Performance Heat Sinks	max 1	Configuration Rule	Selection constraint for Standard & Performance Heat Sinks: max 1
Cables & Enablement Kits	Compute Ops Management Enablement SKUs	max 1	Configuration Rule	4P Mezz Enable kit cannot be selected with either UPI 2P FIO Cbl kit or 2P Air Baffle kit.
Memory	Memory	max 32	Configuration Rule	Selection constraint for Memory: max 32
Memory	Memory	max 32	Configuration Rule	These products are hidden due to Supply constraints
Memory	Memory	max 32	Configuration Rule	Mixing of memory DIMMs of different capacities is not allowed.
Drive Enclosures / Drives	Drive Cage	max 5	Configuration Rule	Selection constraint for Drive Cage: max 5
Storage Controllers	SAS Controller	max 4	Configuration Rule	Selection constraint for SAS Controller: max 4
Storage Controllers	Internal Storage Controller Cables	max 1	Configuration Rule	Selection constraint for Internal Storage Controller Cables: max 1
Cables & Enablement Kits	Tri-Mode MegaRAID Storage Controllers	max 1	Configuration Rule	Selection constraint for Tri-Mode MegaRAID Storage Controllers: max 1
Cables & Enablement Kits	Tri-Mode MegaRAID Storage Controllers	max 3	Configuration Rule	12W Smart Hybrid Capacitor OR 16W Smart Hybrid Capacitor OR 96W Smart Storage Battery can be selected only if  MR416i/ MR408i controller is selected.
Cables & Enablement Kits	Tri-Mode MegaRAID Storage Controllers	max 3	Configuration Rule	There are no "HPE Recommended products" available. Please use the toggle to show potential alternatives.
Storage Controllers	Energy Star	max 1	Configuration Rule	Selection constraint for Energy Star: max 1
Drive Enclosures / Drives	Optical Drive	max 1	Configuration Rule	Selection constraint for Optical Drive: max 1
Drive Enclosures / Drives	Optical Drive	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Accessories & Infrastructure	Drive Blank & FIO Enablement Kits	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Software & Licenses	iLO Common Password	max 1	Configuration Rule	Selection constraint for iLO Common Password: max 1
Accessories & Infrastructure	Trusted Supply Chain	max 1	Configuration Rule	Selection constraint for Trusted Supply Chain: max 1
Software & Licenses	iLO	no max	Configuration Rule	Selection constraint for iLO: no max
PCIe Risers	PCIe Riser Kits	max 1	Configuration Rule	Selection constraint for PCIe Riser Kits: max 1
Cables & Enablement Kits	PCIe Riser Kits	max 1	Configuration Rule	Selection constraint for PCIe Riser Kits: max 1
Networking	Ethernet Cables and QSFP/SFP	max 14	Configuration Rule	Selection constraint for Ethernet Cables and QSFP/SFP: max 14
Cables & Enablement Kits	Energy Star	max 1	Configuration Rule	BTO products are not allowed in CTO Base Model.
Networking	Fibre Channel Host Bus Adapters	max 1	Configuration Rule	Selection constraint for Fibre Channel Host Bus Adapters: max 1
Networking	Fibre Channel HBA	max 4	Configuration Rule	These products are hidden due to Supply constraints
Cables & Enablement Kits	OCP3 Networking Adapters	max 1	Configuration Rule	Selection constraint for OCP3 Networking Adapters: max 1
Networking	Ethernet Cables and QSFP/SFP	max 14	Configuration Rule	These products are hidden due to Supply constraints
Cables & Enablement Kits	Solid State Drives (NVMe/SAS/SATA)	max 2	Configuration Rule	Selection constraint for Solid State Drives (NVMe/SAS/SATA): max 2
Accessories & Infrastructure	Energy Star	max 1	Configuration Rule	Selection constraint for Energy Star: max 1
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	max 1	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: max 1
Cables & Enablement Kits	Power Cords	max 4	Configuration Rule	Power cord cannot be selected if HPE Remove Standard Power Cords(469774-409) is in the configuration.
Accessories & Infrastructure	Chassis Infrastructure & Rail Kits	required	Configuration Rule	Selection constraint for Chassis Infrastructure & Rail Kits: required
Power Supplies	Flex Slot Power Supplies	max 1	Configuration Rule	Selection constraint for Flex Slot Power Supplies: max 1
Power Supplies	-48VDC Power Supplies & Cable Kits	max 1	Configuration Rule	Mixing of Power Supplies is not allowed.
Cables & Enablement Kits	-48VDC Power Supplies & Cable Kits	max 1	Configuration Rule	Selection constraint for -48VDC Power Supplies & Cable Kits: max 1
Cables & Enablement Kits	Power Cords & Jumper Cables	max 1	Configuration Rule	Selection constraint for Power Cords & Jumper Cables: max 1
